,Height,Weight
0,65.78331,112.9925
1,71.51521,136.4873
2,69.39874,153.0269
3,68.2166,142.3354
4,67.78781,144.2971
5,68.69784,123.3024
6,69.80204,141.4947
7,70.01472,136.4623
8,67.90265,112.3723
9,66.78236,120.6672
10,66.48769,127.4516
11,67.62333000000001,114.14299999999999
12,68.30248,125.6107
13,67.11655999999999,122.4618
14,68.27967,116.0866
15,71.0916,139.9975
16,66.461,129.5023
17,68.64927,142.9733
18,71.23033000000001,137.9025
19,67.13118,124.0449
20,67.83379000000001,141.2807
21,68.87881,143.5392
22,63.48115,97.90191
23,68.42187,129.5027
24,67.62804,141.8501
25,67.20864,129.7244
26,70.84235,142.4235
27,67.49434000000001,131.5502
28,66.53401,108.3324
29,65.44098000000001,113.8922
30,69.5233,103.3016
31,65.8132,120.7536
32,67.8163,125.7886
33,70.59505,136.2225
34,71.80484,140.1015
35,69.20613,128.7487
36,66.80368,141.7994
37,67.65893,121.2319
38,67.80700999999999,131.3478
39,64.04535,106.7115
40,68.57463,124.3598
41,65.18356999999999,124.8591
42,69.65814,139.6711
43,67.96731,137.3696
44,65.98088,106.4499
45,68.67249,128.7639
46,66.88088,145.6837
47,67.69868000000001,116.819
48,69.82117,143.6215
49,69.08816999999999,134.9325
50,69.91479,147.0219
51,67.33182,126.3285
52,70.26939,125.4839
53,69.10344,115.7084
54,65.38356,123.4892
55,70.18446999999999,147.8926
56,70.40616999999999,155.8987
57,66.54375999999999,128.0742
58,66.36418,119.3701
59,67.53699999999999,133.8148
60,66.50418,128.7325
61,68.99958000000001,137.5453
62,68.30355,129.7604
63,67.01255,128.82399999999998
64,70.80592,135.3165
65,68.21951,109.6113
66,69.05914,142.4684
67,67.73103,132.749
68,67.21568,103.5275
69,67.36763,124.7299
70,65.27033,129.3137
71,70.84278,134.0175
72,69.92442,140.3969
73,64.28508000000001,102.8351
74,68.2452,128.5214
75,66.35708000000001,120.2991
76,68.36275,138.6036
77,65.4769,132.9574
78,69.71947,115.6233
79,67.72554000000001,122.524
80,68.63941,134.6254
81,66.78405,121.8986
