HS_GPA,GENDER,BU_GPA,SAT_TOTAL,,,
4.0,0,3.93,1540,,,0.00015525
3.6,1,3.72,1600,,,0.000299392
4.0,0,3.35,1260,,,0.000400736
3.8,0,3.30,1220,,,0.000451855
3.4,0,2.08,1130,,,0.000454289
3.6,0,3.64,1270,,,0.000483342
3.9,0,2.78,1280,,,0.000503755
4.0,0,3.53,1320,,,0.000543843
4.0,0,3.68,1430,,,0.000555032
3.5,1,2.18,1300,,,0.000565467
3.7,0,3.56,1140,,,0.000889178
3.9,0,3.06,1190,,,0.000894466
3.4,1,3.34,1380,,,0.000908948
3.0,0,2.84,1310,,,0.000957696
3.5,1,3.00,1240,,,0.00102633
3.0,0,2.77,1170,,,0.00103436
3.3,1,3.40,1370,,,0.001097225
3.5,1,3.37,1240,,,0.001246834
3.5,1,2.65,1430,,,0.001388867
3.3,1,3.12,1290,,,0.001397519
4.0,0,3.34,1180,,,0.001437269
3.7,0,3.27,1350,,,0.001691644
2.6,1,1.67,1230,,,0.001939102
3.5,0,3.33,1270,,,0.002090882
3.0,1,2.65,1380,,,0.002135457
3.8,1,1.96,1270,,,0.002582329
3.4,0,2.42,1220,,,0.002858954
3.3,1,2.62,1240,,,0.002967017
3.8,0,3.09,1320,,,0.00299148
3.2,1,1.61,1140,,,0.00304129
3.8,0,3.46,1390,,,0.003136309
3.2,0,2.95,1200,,,0.003266043
2.7,1,2.68,1110,,,0.003545656
3.9,0,2.85,1390,,,0.003619294
3.3,0,2.86,1130,,,0.003640655
3.4,0,3.23,1130,,,0.003761224
3.3,1,3.20,1510,,,0.00403659
3.4,0,3.00,1120,,,0.004288663
3.5,1,3.40,1260,,,0.004757421
3.6,1,2.37,1340,,,0.004842058
3.7,0,3.20,1280,,,0.005059207
3.3,0,3.50,1320,,,0.005116616
3.1,0,3.32,1440,,,0.005324256
3.1,0,2.40,1110,,,0.005343036
3.6,1,3.71,1310,,,0.005522136
3.8,1,3.00,1320,,,0.005654934
4.0,0,3.68,1340,,,0.005775465
3.9,1,3.37,1350,,,0.005918104
3.5,1,2.48,1220,,,0.005976614
3.8,1,2.82,1320,,,0.006313472
3.7,0,2.84,1130,,,0.006335913
3.9,1,3.73,1340,,,0.006368096
3.9,1,3.59,1370,,,0.006754397
3.3,1,3.14,1280,,,0.006959939
3.6,0,3.40,1420,,,0.006989265
3.7,0,2.93,1280,,,0.007040054
3.5,0,3.75,1340,,,0.007533118
4.0,0,3.58,1400,,,0.007687972
3.7,0,3.49,1430,,,0.007699505
3.8,0,2.64,1040,,,0.007715064
2.9,1,1.61,1380,,,0.007793556
3.0,0,2.61,1160,,,0.008163093
3.3,1,0.34,1240,,,0.008316084
3.9,1,3.26,1340,,,0.008848812
3.8,0,3.50,1320,,,0.009010712
3.9,0,2.63,1250,,,0.009409888
4.0,0,3.45,1300,,,0.009433588
3.6,0,3.74,1310,,,0.009671758
3.3,1,2.82,1340,,,0.009716184
4.0,1,3.86,1360,,,0.009941312
3.4,0,3.28,1340,,,0.009972206
3.9,0,3.45,1380,,,0.010132015
2.6,1,2.42,1210,,,0.010337668
3.3,1,2.34,1190,,,0.010447097
3.5,1,2.91,1270,,,0.010477653
3.1,1,2.64,1150,,,0.0106367
4.0,1,2.96,1400,,,0.010681902
2.3,1,2.89,1240,,,0.011286015
3.9,1,2.76,1170,,,0.011398538
3.0,0,3.44,1040,,,0.011413674
4.0,1,3.17,1370,,,0.011439338
2.7,1,2.92,1410,,,0.011471341
3.4,0,2.64,1220,,,0.011508502
3.6,0,3.43,1240,,,0.011969978
2.7,1,3.09,1020,,,0.011996693
2.6,1,2.21,1500,,,0.012450605
2.6,1,3.01,1310,,,0.01291039
3.9,0,2.53,1230,,,0.01295751
4.0,1,3.92,1370,,,0.012985794
3.1,1,3.07,1230,,,0.01311541
3.5,1,1.11,1310,,,0.013183306
3.7,1,3.81,1340,,,0.013204452
3.3,1,2.81,1260,,,0.013470312
3.4,0,3.39,970,,,0.01348036
3.8,1,2.61,1330,,,0.013653615
