Gender,ClassYear,GPA,CreditsEarned,TransferCredits,APCredits
0,3,2.85,60,8,0
0,2,2.46,32,0,0
0,3,2.52,63,8,8
1,3,3.58,64,0,32
1,4,3.17,70,30,28
0,3,3.96,84,0,20
0,2,3.13,32,0,0
0,4,1.99,88,0,0
1,4,2.66,82,0,52
0,3,1.91,24,16,0
0,3,3.41,36,0,0
1,4,3.48,99,0,24
1,3,3.9,12,40,0
1,3,3.76,76,0,12
0,3,2.88,84,0,4
1,4,2.72,96,0,0
0,4,3.21,64,4,24
0,2,3.13,32,0,12
0,4,2.82,68,18,0
0,3,2.99,60,0,8
0,4,2.61,90,5,0
0,2,3.5,16,0,0
1,3,3.23,68,0,8
1,3,3.29,60,0,0
0,2,2.4,24,3,0
1,4,3.74,102,0,12
0,3,3.69,73,0,16
0,2,3.03,43,0,8
0,3,3.62,65,14,0
1,2,3.46,32,0,12
1,2,3.57,37,0,20
0,4,2.3,101,0,4
0,3,2.98,40,52,0
1,2,2.94,36,0,16
1,2,2.96,28,0,0
0,3,3.26,65,0,0
0,2,3.5,30,0,36
0,4,3.13,96,0,8
0,3,3.03,85,0,0
1,4,3.7,65,0,36
1,3,3.19,83,0,0
0,3,3,60,0,0
0,3,3.63,60,0,12
1,3,2.71,28,48,0
0,3,2.62,66,0,0
1,2,3.83,45,0,4
1,2,2.43,32,0,0
0,2,1.93,28,0,48
1,3,2.37,53,15,16
1,2,3.8,32,0,20
0,2,3.14,32,0,4
0,3,3.26,65,9,12
0,2,2.66,33,0,0
1,4,2.69,57,30,0
0,2,3.68,33,0,24
1,4,3.42,127,8,20
0,4,3.09,92,0,8
0,2,2.26,28,0,0
0,2,3.26,32,8,4
0,2,2.91,32,5,4
0,4,2.3,99,0,0
0,2,2.88,32,0,0
1,4,3.65,96,0,32
1,3,2.75,60,0,0
1,3,3.12,77,0,0
0,4,3.65,98,21,20
0,4,3.25,102,0,4
0,4,3.73,100,6,0
1,2,3.46,37,0,0
0,3,2.59,68,6,0
0,3,2.25,62,0,16
0,4,3.25,102,0,4
1,2,2.41,28,0,0
0,4,2.9,92,0,24
1,2,3.93,32,0,0
0,4,2.71,100,0,0
1,4,3.86,100,0,40
0,3,2.92,60,0,16
0,4,2.98,32,61,0
0,3,3.12,68,0,4
1,4,3.29,112,0,8
0,2,3.08,33,0,0
1,4,3.45,129,69,0
0,3,3.31,64,0,32
0,2,3.38,34,8,8
1,4,3.83,104,4,24
1,2,3.96,32,0,0
1,2,3.59,33,0,20
0,2,3.18,33,6,0
0,4,3.46,89,0,8
0,4,3.32,154,0,0
1,3,3.74,31,0,40
0,4,2.17,84.5,25,0
0,4,3.23,103,14,0
0,3,3.24,62,12,8
0,4,2.38,110,0,16
1,3,3.02,56,0,0
1,3,2.58,58,0,0
0,3,3.08,64,0,0
0,3,3.22,67,0,8
1,4,3.28,112,0,12
0,2,2.79,32,0,12
0,4,3.11,60,0,16
0,2,2.71,32,0,0
1,3,2.13,52,0,0
0,3,3.06,70,0,8
0,4,3.27,98,0,28
0,4,3.48,96,0,0
0,2,3.04,33,0,0
0,4,2.91,100,0,0
1,4,3.18,89,0,20
0,3,2.41,53,8,0
0,2,2.49,43,0,0
0,4,3.89,104,0,20
0,4,3.62,66,0,16
0,2,2.75,32,0,16
1,2,3.66,32,0,8
1,3,2.63,72,0,0
0,2,3.43,32,0,36
0,4,3.58,70,0,52
0,4,2.66,96,0,0
0,3,3.89,36,44,0
0,3,3.18,38,54,0
0,4,3.51,80,0,28
0,4,2.32,84,8,12
0,3,3.93,76,0,12
0,4,3.43,105,0,24
0,3,3.15,68,0,8
1,2,3.16,32,0,0
0,3,2.99,64,0,4
1,2,1.91,24,0,8
0,4,3.5,96,0,24
0,2,3.24,33,0,8
0,4,3.33,96,0,12
1,4,3.12,106,0,4
0,4,2.91,80,0,8
0,4,3.49,108,0,0
0,4,2.58,68,31,12
0,4,2.55,102,9.2,4
0,2,2.91,32,0,28
0,2,3.41,41,0,0
1,2,3.36,34,6,12
1,3,3.08,64,0,20
1,4,3.4,112,12,0
1,3,3.56,63,0,28
0,2,4,32,0,0
0,3,3.64,64,38,32
1,3,2.58,68,4,12
0,3,3.55,71,2.6,0
0,2,3.84,33,0,20
0,2,2.83,32,0,12
1,3,3.41,76,0,0
1,4,2.71,92,0,4
1,4,3.33,92,6,40
0,4,3.34,96,0,20
1,3,3.34,65,0,0
0,2,3.09,30,0,8
1,3,2.06,52,8,0
1,3,3.01,58,0,4
0,4,3.95,112,0,68
0,3,2.47,68,0,4
1,3,2.44,46,0,8
1,3,2.59,83,0,0
0,3,3.64,66,0,16
0,4,3.33,96,0,0
1,2,2.59,32,0,0
0,3,3.75,62,0,0
1,4,3.44,32,63,0
0,3,2,56,0,0
1,3,2.81,56,0,0
0,2,2.92,30,25,0
1,3,3.81,69,0,24
0,3,3.25,63,0,16
0,4,2.88,96,0,0
0,2,3.2,32,0,4
1,3,3.78,78,0,0
1,4,2.65,132,0,0
0,3,2.77,12,46,0
0,3,3.58,32,0,32
0,3,2.57,28,27,0
1,4,3.39,96,0,44
1,3,3.08,50,0,0
0,4,2.91,68,27,0
0,4,2.52,124,0,0
0,2,2.75,32,0,4
0,2,3.71,41,0,0
0,2,3.53,32,0,0
0,2,2.29,29,0,0
0,3,3.54,60,0,12
0,4,3.54,94,0,8
1,3,3.04,64,0,12
1,3,3.01,64,0,8
1,2,3.6,33,0,16
0,2,3.16,33,0,0
1,4,2.44,68,20,28
1,3,3.09,32,24,20
1,2,3.46,32,0,0
1,2,2.76,28,0,0
0,2,3.53,28,0,4
0,4,3.59,104,0,0
